"Timestamp","image_01_stress","image_01_calm","image_01_safety","image_01_vitality","image_02_stress","image_02_calm","image_02_safety","image_02_vitality","image_03_stress","image_03_calm","image_03_safety","image_03_vitality","image_04_stress","image_04_calm","image_04_safety","image_04_vitality","image_05_stress","image_05_calm","image_05_safety","image_05_vitality","image_06_stress","image_06_calm","image_06_safety","image_06_vitality","image_07_stress","image_07_calm","image_07_safety","image_07_vitality","image_08_stress","image_08_calm","image_08_safety","image_08_vitality","image_09_stress","image_09_calm","image_09_safety","image_09_vitality","image_10_stress","image_10_calm","image_10_safety","image_10_vitality","image_11_stress","image_11_calm","image_11_safety","image_11_vitality","image_12_stress","image_12_calm","image_12_safety","image_12_vitality","image_13_stress","image_13_calm","image_13_safety","image_13_vitality","image_14_stress","image_14_calm","image_14_safety","image_14_vitality","image_15_stress","image_15_calm","image_15_safety","image_15_vitality","image_16_stress","image_16_calm","image_16_safety","image_16_vitality","image_17_stress","image_17_calm","image_17_safety","image_17_vitality","image_18_stress","image_18_calm","image_18_safety","image_18_vitality","image_19_stress","image_19_calm","image_19_safety","image_19_vitality","image_20_stress","image_20_calm","image_20_safety","image_20_vitality","image_21_stress","image_21_calm","image_21_safety","image_21_vitality","image_22_stress","image_22_calm","image_22_safety","image_22_vitality","image_23_stress","image_23_calm","image_23_safety","image_23_vitality","image_24_stress","image_24_calm","image_24_safety","image_24_vitality","image_25_stress","image_25_calm","image_25_safety","image_25_vitality","image_26_stress","image_26_calm","image_26_safety","image_26_vitality","image_27_stress","image_27_calm","image_27_safety","image_27_vitality","image_28_stress","image_28_calm","image_28_safety","image_28_vitality","image_29_stress","image_29_calm","image_29_safety","image_29_vitality","image_30_stress","image_30_calm","image_30_safety","image_30_vitality","image_31_stress","image_31_calm","image_31_safety","image_31_vitality","image_32_stress","image_32_calm","image_32_safety","image_32_vitality","image_33_stress","image_33_calm","image_33_safety","image_33_vitality","image_34_stress","image_34_calm","image_34_safety","image_34_vitality","image_35_stress","image_35_calm","image_35_safety","image_35_vitality","image_36_stress","image_36_calm","image_36_safety","image_36_vitality","image_37_stress","image_37_calm","image_37_safety","image_37_vitality","image_38_stress","image_38_calm","image_38_safety","image_38_vitality","image_39_stress","image_39_calm","image_39_safety","image_39_vitality","image_40_stress","image_40_calm","image_40_safety","image_40_vitality"
"2026/05/27 8:04:53 pm CET","4","3","2","3","3","4","4","4","2","3","4","5","4","2","3","2","1","4","3","5","4","2","2","2","4","1","2","3","2","4","3","2","1","4","4","5","3","4","4","4","4","2","3","2","3","2","2","2","4","2","2","4","3","2","3","4","2","2","3","2","4","4","4","3","4","2","2","2","3","2","3","2","2","3","3","2","2","4","4","4","2","3","3","2","4","2","1","1","4","4","3","4","2","4","3","3","1","3","4","3","1","4","4","5","2","4","3","5","4","3","3","4","3","2","2","4","2","5","5","4","3","2","3","4","2","4","4","5","2","4","3","4","1","5","4","4","2","3","2","4","4","2","2","2","4","1","2","2","2","4","3","2","2","3","3","2","4","2","2","2"
"2026/05/27 10:34:58 pm CET","3","3","4","2","2","3","4","4","2","1","5","3","1","5","4","2","3","3","3","2","4","2","3","5","1","5","2","1","4","2","2","3","1","5","5","3","1","5","5","3","1","5","4","4","2","3","1","1","4","1","2","5","1","5","5","4","1","2","2","1","3","3","5","4","2","3","2","2","3","3","4","4","2","4","3","4","4","2","3","5","4","1","3","5","5","1","2","4","4","3","5","5","4","3","2","4","4","2","3","2","1","5","5","1","1","5","4","2","1","4","2","1","1","4","2","3","1","5","5","5","3","2","5","5","1","3","4","5","2","3","4","3","3","4","4","4","3","3","5","3","4","2","5","5","4","2","2","4","4","2","3","4","4","2","3","4","3","2","2","1"
"2026/05/27 10:36:40 pm CET","3","2","2","2","4","3","2","2","3","3","2","1","2","4","3","2","2","5","4","5","4","2","1","3","1","5","3","4","4","1","3","1","1","5","4","5","2","5","4","4","2","4","4","3","3","3","2","3","3","2","2","4","3","3","3","2","4","3","2","1","5","4","3","3","3","3","1","1","2","4","3","3","4","4","3","1","3","2","2","2","4","2","2","2","5","3","3","1","4","4","2","3","2","4","2","4","4","2","2","3","1","5","4","5","1","5","5","5","1","5","4","4","2","5","4","5","2","4","5","4","1","4","3","5","1","5","5","5","2","4","4","4","4","4","5","3","4","2","1","3","5","2","1","2","3","4","3","2","3","4","3","3","4","3","2","1","3","3","2","4"
"2026/05/28 5:29:25 pm CET","2","2","3","3","2","1","2","2","1","4","4","4","1","5","3","1","2","3","3","2","3","2","2","3","1","5","5","4","3","1","3","3","1","5","4","3","2","4","4","2","3","3","3","2","2","4","2","2","4","1","3","5","2","2","2","2","1","3","3","2","2","4","4","1","1","4","3","2","4","2","3","4","3","3","4","4","4","2","2","4","5","1","2","4","4","2","3","3","3","2","2","4","2","4","4","3","4","1","1","2","1","5","5","3","1","5","5","2","1","4","3","2","1","4","4","3","1","4","5","4","2","3","3","4","1","3","4","5","1","4","4","3","2","2","3","2","3","2","2","4","3","2","3","4","3","1","3","4","2","4","3","3","1","3","4","3","2","2","2","2"
